q3,q4,q5,q6,productName,imageUrl,spiel,buyUrl
LOW,NEW,PRACTICAL,SMART,Pro 500,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/640w/products/546/5185/00069055133248_C1N0_COM__48473.1715721497.jpg?c=1,"The Pro 500 is perfect for someone who’s just starting out and wants something easy, practical, and effective—no bells, no fuss.",https://oralb.com/en-us/oral-b-pro-500-rechargeable-electric-toothbrush/
LOW,NEW,PRACTICAL,DESIGN,Pro 100 Cross Action,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/640w/products/927/4101/00069055127865_C1N0_COM__26903.1651077104.jpg?c=1,"For the practical first-timer who likes things straightforward, the Pro 100 Cross Action brings a no-fuss, deep clean with zero distractions.",https://oralb.com/en-us/products/toothbrushes/oral-b-pro-100-crossaction/
LOW,NEW,SELFCARE,SMART,Pro 100 Gum Care,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/1280x1280/products/928/4108/00069055127896_C1N0_COM__31047.1651077517.jpg?c=1,"If they’re all about gentle care and new to electric brushing, the Pro 100 Gum Care is a kind and thoughtful introduction to self-care routines.",https://oralb.com/en-us/products/toothbrushes/oral-b-pro-100-gumcare/
LOW,NEW,SELFCARE,DESIGN,Pro 100 Charcoal,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/1280x1280/products/929/4114/00069055130513_C1N0_COM__49845.1651077872.jpg?c=1,"For the self-care beginner who still wants something stylish, the Pro 100 Charcoal makes brushing feel like part of their glow-up ritual.",https://oralb.com/en-us/products/toothbrushes/oral-b-pro-100-charcoal/
LOW,CURRENT,PRACTICAL,SMART,Pro 1000,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/640w/products/1388/11521/00069055128206_C1N0__07947.1742924576.jpg?c=1,"The Pro 1000 is perfect for a practical person who’s ready to upgrade without overcomplicating things—powerful clean, simple vibe.",https://oralb.com/en-us/products/pro-1000-rechargeable-electric-toothbrush-turquoise/
LOW,CURRENT,PRACTICAL,DESIGN,Pro 100 Precision Clean,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/1280x1280/products/930/4121/00069055854907_C1N0_COM__41044.1651078249.jpg?c=1,"If they’re already brushing electric and like to keep it clean and classic, the Pro 100 Precision Clean is totally their match.",https://oralb.com/en-us/products/toothbrushes/oral-b-pro-100-precision-clean/
LOW,CURRENT,SELFCARE,SMART,Pro 100 3D White,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/1280x1280/products/926/4093/00069055127315_C1N0__73280.1651074798.jpg?c=1,Know someone who’s already brushing and loves a sparkly smile? The Pro 100 3D White brings the glow they’re looking for.,https://oralb.com/en-us/products/toothbrushes/oral-b-pro-100-3d-white/
LOW,CURRENT,SELFCARE,DESIGN,Pro 100 Charcoal,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/1280x1280/products/929/4114/00069055130513_C1N0_COM__49845.1651077872.jpg?c=1,"For the self-care beginner who still wants something stylish, the Pro 100 Charcoal makes brushing feel like part of their glow-up ritual.",https://oralb.com/en-us/products/toothbrushes/oral-b-pro-100-charcoal/
MID,NEW,PRACTICAL,SMART,Smart 1500,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/640w/products/1210/8947/00069055129029_C1N0_COM__63100.1707844110.jpg?c=1,The Smart 1500 is ideal for someone who’s new to electric brushing but loves smart value—reliable tech without the overwhelm.,https://oralb.com/en-us/smart-1500-electric-rechargeable-toothbrush-black/
MID,NEW,PRACTICAL,DESIGN,iO Series 2,https://oralb.com/content/jas/iO/find-your-iO/brushes/iO2-Black-2x.png,"If they’re practical but into good design, the iO Series 2 is the perfect stylish way to start their electric brushing journey.",https://oralb.com/en-us/products/electric-toothbrushes/io-series-2-rechargeable-electric-toothbrush-starter-kit-night-black/
MID,NEW,SELFCARE,SMART,Smart 5000,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/1280x1280/products/810/9538/Smart_5000_White___83512__19869.1721534490.jpg?c=1,"For the self-care starter who likes guidance and gentle power, the Smart 5000 turns brushing into a wellness moment.",https://oralb.com/en-us/smart-5000-electric-toothbrush-with-smartguide-bluetooth/
MID,NEW,SELFCARE,DESIGN,iO Series 3,https://oralb.com/content/jas/iO/find-your-iO/brushes/iO3%20White.png,"If they're new to electric brushing and love sleek design, the iO Series 3 brings aesthetic and function in one clean package.",https://oralb.com/en-us/products/io-series-3-rechargeable-electric-toothbrush-white/
MID,CURRENT,PRACTICAL,SMART,iO Series 4,https://oralb.com/content/jas/iO/find-your-iO/brushes/iO4%20Blue.png,"For the practical upgrader who wants smarter brushing without the noise, the iO Series 4 is their perfect clean companion.",https://oralb.com/en-us/products/electric-toothbrushes/io-series-4-rechargeable-electric-toothbrush-blue/
MID,CURRENT,PRACTICAL,DESIGN,iO Series 3,https://oralb.com/content/jas/iO/find-your-iO/brushes/iO3%20White.png,"If they're new to electric brushing and love sleek design, the iO Series 3 brings aesthetic and function in one clean package.",https://oralb.com/en-us/products/io-series-3-rechargeable-electric-toothbrush-white/
MID,CURRENT,SELFCARE,SMART,iO Series 5,https://oralb.com/content/jas/iO/find-your-iO/brushes/iO5%20Black.png,"If they’re already brushing electric and love keeping tabs on everything, the iO Series 5 gives them brushing stats and then some.",https://oralb.com/en-us/products/electric-toothbrushes/oral-b-io-series-5-rechargeable-electric-toothbrush-matte-black/
MID,CURRENT,SELFCARE,DESIGN,Smart 5000,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/1280x1280/products/810/9538/Smart_5000_White___83512__19869.1721534490.jpg?c=1,"For the self-care starter who likes guidance and gentle power, the Smart 5000 turns brushing into a wellness moment.",https://oralb.com/en-us/smart-5000-electric-toothbrush-with-smartguide-bluetooth/
HIGH,NEW,PRACTICAL,SMART,iO Series 6,https://oralb.com/content/jas/iO/find-your-iO/brushes/iO6%20Gray.png,"The iO Series 6 is just right for someone who’s new but wants premium—clean, smooth, and not too techy.",https://oralb.com/en-us/products/electric-toothbrushes/oral-b-io-series-6-electric-toothbrush-grey-opal/
HIGH,NEW,PRACTICAL,DESIGN,Genius 7500,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/640w/products/1239/11400/genius_7500_twin_pack_gold_purple__49326__85321.1742271796.jpg?c=1,"If they’re practical but love a touch of polish, the Genius 7500 brings powerful brushing wrapped in understated luxury.",https://oralb.com/en-us/products/genius-series/oral-b-genius-7500-rechargeable-electric-toothbrush-twin-pack-orchid-purple-and-rose-gold/
HIGH,NEW,SELFCARE,SMART,Genius X Limited,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/640w/products/1377/11580/genius_x_twin_pack_black_white__24677__81778.1743048177.jpg?c=1,The Genius X Limited is spot-on for someone who loves routines and smart tools—because it actually learns how they brush.,https://oralb.com/en-us/products/oral-b-genius-x-rechargeable-electric-toothbrush-twin-pack-black-and-white/
HIGH,NEW,SELFCARE,DESIGN,iO Series 7,https://oralb.com/content/jas/iO/find-your-iO/brushes/iO7G%20Black.png,"If their vibe is all wellness and minimalism, the iO Series 7 is the perfect upgrade for a stylish, self-caring soul.",https://oralb.com/en-us/products/electric-toothbrushes/io-series-7-electric-toothbrush-black/
HIGH,CURRENT,PRACTICAL,SMART,iO Series 8,https://oralb.com/content/jas/iO/find-your-iO/brushes/iO8%20Violet.png,The iO Series 8 is made for the practical upgrader who wants serious performance with a touch of premium feel.,https://oralb.com/en-us/products/electric-toothbrushes/io-series-8-electric-toothbrush-violet-ametrine/
HIGH,CURRENT,PRACTICAL,DESIGN,Genius X Limited,https://cdn11.bigcommerce.com/s-2idmiil7bp/images/stencil/640w/products/1377/11580/genius_x_twin_pack_black_white__24677__81778.1743048177.jpg?c=1,The Genius X Limited is spot-on for someone who loves routines and smart tools—because it actually learns how they brush.,https://oralb.com/en-us/products/oral-b-genius-x-rechargeable-electric-toothbrush-twin-pack-black-and-white/
HIGH,CURRENT,SELFCARE,SMART,iO Series 10,https://cdn11.bigcommerce.com/s-2idmiil7bp/content/io10/pcp/Brushes_iO%20Brush_iO10_Black%20Base-2x.png,"The iO Series 10 is the ultimate gift for a tech-loving self-care pro—tracks, coaches, lights up, and makes brushing epic.",https://oralb.com/en-us/products/electric-toothbrushes/io-series-10-rechargeable-electric-toothbrush-cosmic-black/
HIGH,CURRENT,SELFCARE,DESIGN,iO Series 9,https://oralb.com/content/jas/iO/find-your-iO/iO9-rose.png,"For the self-care devotee who’s ready to go big, the iO Series 9 is whisper-quiet, beautiful, and full of feel-good features.",https://oralb.com/en-us/products/electric-toothbrushes/oral-b-io-series-9-rechargeable-electric-toothbrush-rose-quartz/